System,Part,Vendor,PUQ,Quant,Part #,Refs,Cost,Total,Notes,Total Cost Per Unit:
Power – General,Slide SW,C&K,1,1,401-2002-2-ND,PW_SW,$0.33,$0.33,,$59.05
IR sensing,IR Sensor,ON Semiconductor,6,6,QRE1113GRCT-ND,EL/ML/CL/ER/MR/CR,$1.04,$6.24,,
Power – General,20 mm Coin-Cell Holder,Keystone Electronics,2,2,36-3034-ND,,$0.31,$0.62,,Alternate CPU: 
Power – General,20 mm Coin-Cell Battery,Murata Electronics,2,2,490-18646-ND,,$0.30,$0.60,,$39.05
Balun,C0402 – 1.8pF,AVX Corporation,1,1,478-10091-1-ND,C12,$0.12,$0.12,,
Balun,C0402 – 2.7pF,AVX Corporation,1,1,478-10096-1-ND,C8,$0.10,$0.10,,
Balun,C0402 – 3.0pF,AVX Corporation,1,1,478-10101-1-ND,C10,$0.10,$0.10,,
Balun,C0402 – 3.6pF,AVX Corporation,2,2,478-12637-1-ND,C5/C6,$0.16,$0.32,,
Balun,C0402 – 6.2pF,AVX Corporation,1,1,478-10164-1-ND,C9,$0.21,$0.21,,
32kHz Osc,C0402 – 12pF,AVX Corporation,2,2,478-1071-1-ND,C2/C4,$0.16,$0.32,,
Power – CC1310,C0402 – 22pF,AVX Corporation,1,1,478-1074-1-ND,C23,$0.10,$0.10,,
Power – CC1310,C0402 – 34pF,AVX Corporation,1,1,478-12613-1-ND,C18,$0.10,$0.10,only found 33pF,
Power | Balun,C0402 – 100pF,AVX Corporation,9,9,478-1082-1-ND,C1/C7/C11/C19/C20/C21/C22/C24/C25,$0.10,$0.90,,
Power – CC1310,C0402 – 1uF,AVX Corporation,1,1,478-2583-1-ND,C3,$0.15,$0.15,,
IR sensing,C0603 – 1nF,AVX Corporation,6,6,478-5005-1-ND,C26/C27/C28/C29/C30/C31,$0.63,$3.78,,
IR sensing,R0603 – 220,Stackpole Electronics Inc,6,10,RMCF0603FT220RCT-ND,R4/R5/R7/R8/R9,$0.02,$0.15,,
IR sensing,R0603 – 147,Stackpole Electronics Inc,2,10,738-RMCF0603FT147RCT-ND,R2/R3,$0.02,$0.15,,
Reset Pull-up – CC1310,R0402 – 100k,Stackpole Electronics Inc,1,1,RMCF0402FT100KCT-ND,R1,$0.10,$0.10,,
Motor Cap,C0603 – 3.3nF,AVX Corporation,2,2,478-10808-1-ND,C32/C33,$0.15,$0.30,,
Balun,L0402 – 6.8nH,Murata Electronics,3,3,490-2621-1-ND,L4/L5/L6,$0.10,$0.30,,
Balun,L0402 – 7.5nH,Murata Electronics,2,2,490-15095-1-ND,L2/L3,$0.10,$0.20,,
Balun,L0402 – 27nH,Murata Electronics,1,1,490-2628-1-ND,L1,$0.10,$0.10,,
Power – CC1310,Ferrite Bead Noise Filter,Murata Electronics,1,1,490-5216-1-ND,FB,$0.21,$0.21,,
24MHz Osc,24 MHz Crystal Osc,EPSON,1,1,SER3635CT-ND,Y1,$0.36,$0.36,,
32kHz Osc,32 kHz Crystal Osc,EPSON,1,1,SER4103CT-ND,Y2,$0.41,$0.41,,
Reset Pushbutton,Momentary Switch,C&K,1,1,401-1426-1-ND,S1,$0.49,$0.49,,
Power – General,LM1117 5V,Texas Instruments,1,1,LM1117MPX-5.0/NOPBCT-ND,5V_REG,$1.10,$1.10,,
Power – General,LM1117 3v3,Texas Instruments,1,1,LM1117MPX-3.3/NOPBCT-ND,3V3_REG,$1.10,$1.10,,
Debug Header Pins,Male Header 6 Pos,Adam Tech,1,1,2057-PH1-06-UA-ND,DEBUG_HEADER,$0.12,$0.12,,
Motor Driver,DRV8835DSSR,Texas Instruments,1,1,296-30391-1-ND,DRV8835,$1.48,$1.48,,
Microprocessor,CC1310F128RGZT,Texas Instruments,1,1,296-42989-1-ND,CC1310,$6.59,$6.59,,
Motor,6V DC 75:1 Motor,Pololu ,2,2,2183-2361-ND,M1/M2,$15.95,$31.90,,
,,,,,,,,$0.00,,
Cheaper Motor,4.5V DC 120:1 Motor,Pololu,2,2,2183-1520-ND,M1/M2,$5.95,$11.90,,
,,,,,,,,,,
,,,,,,,,$0.00,,
,,,,,,,,$0.00,,
